x,y,z,xt,yt,zt
0.353556, -0.385979, -1.509402, , , 
0.508760, -0.266537, -1.349096, , , 
0.110662, -0.558094, -1.623144, , , 
0.473317, -0.034442, -1.037576, , , 
0.334224, -0.285573, -1.358698, , , 
-0.096778, -0.472627, -1.524859, , , 
-0.071313, -0.329059, -1.468613, , , 
0.034244, -0.172096, -1.291770, , , 
-0.174481, -0.604987, -1.709238, , , 
-0.069693, -0.132787, -1.255230, , , 
0.291630, -0.479298, -1.596373, , , 
-0.003425, 0.083269, -1.091914, , , 
0.071441, -0.365321, -1.499597, , , 
-0.100758, 0.144663, -1.026103, , , 
0.250836, -0.439315, -1.535673, , , 
0.114406, -0.415514, -1.572244, , , 
0.590280, -0.470578, -1.542417, , , 
0.605892, -0.481877, -1.569354, , , 
-0.306918, -0.553286, -1.719578, , , 
0.373141, -0.385312, -1.382658, , , 
0.449345, -0.534437, -1.647889, , , 
0.473159, -0.652819, -1.751374, , , 
0.209525, -0.050847, -0.977560, , , 
0.429630, -0.448960, -1.541498, , , 
0.533920, 0.115623, -1.048389, , , 
-0.131516, 0.234796, -0.950290, , , 
0.342711, 0.084185, -1.054672, , , 
0.587925, -0.546365, -1.476944, , , 
0.490467, -0.344281, -1.442194, , , 
-0.341536, -0.615791, -1.719417, , , 
-0.103651, 0.142053, -1.022015, , , 
0.112572, -0.514124, -1.631046, , , 
0.570034, 0.176154, -1.023430, , , 
0.259923, -0.450840, -1.563099, , , 
0.024780, 0.191939, -1.015252, , , 
0.318857, 0.008388, -0.948603, , , 
0.065860, 0.221018, -0.977394, , , 
0.598250, -0.503921, -1.490766, , , 
0.394243, 0.223886, -0.989409, , , 
0.014818, 0.039376, -1.131930, , , 
0.640662, -0.071237, -1.211071, , , 
-0.208109, -0.554861, -1.636188, , , 
0.325769, 0.035556, -1.135852, , , 
-0.212229, -0.575754, -1.674497, , , 
0.440020, -0.528337, -1.630406, , , 
-0.851324, -0.205496, -2.557203, , , 
-0.100474, -0.486534, -1.555931, , , 
0.603616, -0.503111, -1.496946, , , 
0.211828, 0.107758, -1.051311, , , 
0.335140, -0.156589, -1.238459, , , 
-0.161900, -0.098293, -1.238920, , , 
0.695351, -0.099815, -1.243298, , , 
-0.022746, -0.487973, -1.516551, , , 
0.395622, 0.052341, -1.069953, , , 
0.399470, -0.338167, -1.413635, , , 
0.105171, -0.558620, -1.627885, , , 
-0.015498, 0.056190, -1.124685, , , 
0.327562, -0.111497, -1.196550, , , 
0.545197, -0.561721, -1.654413, , , 
0.508588, -0.238910, -1.006018, , , 
0.345436, 0.047932, -1.030394, , , 
-0.065087, -0.129557, -1.270168, , , 
-0.173138, -0.611414, -1.719627, , , 
0.027233, -0.421012, -1.495776, , , 
0.646767, -0.072020, -1.233800, , , 
0.004726, -0.549265, -1.594889, , , 
-0.170252, -0.605550, -1.704384, , , 
0.404640, 0.203944, -1.003952, , , 
0.534230, -0.261247, -1.317770, , , 
-1.003007, -0.358138, -2.553971, , , 
-0.026699, -0.659076, -1.751889, , , 
-0.029064, -0.088895, -1.220891, , , 
0.420351, -0.164491, -1.211345, , , 
0.543621, -0.503338, -1.595735, , , 
0.493197, -0.313548, -1.454546, , , 
0.279040, -0.123795, -1.185272, , , 
0.521038, -0.625449, -1.740960, , , 
0.097765, 0.024045, -1.165125, , , 
0.283864, 0.227519, -0.982943, , , 
0.701457, 0.129508, -1.028654, , , 
0.475025, 0.290204, -0.919827, , , 
0.975605, -0.086043, -1.173818, , , 
0.474300, -0.038043, -1.019474, , , 
0.910051, 0.004926, -1.469309, , , 
0.712586, -0.060981, -1.273325, , , 
0.570076, 0.255257, -0.953316, , , 
0.150762, -0.083347, -1.304800, , , 
0.383497, -0.049607, -1.062986, , , 
-0.207686, -0.710585, -1.779248, , , 
0.088506, 0.125623, -1.079415, , , 
-0.322403, -0.344673, -1.560393, , , 
0.022934, 0.025634, -1.129829, , , 
0.567294, -0.532186, -1.642337, , , 
-0.857314, -0.536834, -2.082314, , , 
0.568892, 0.191982, -0.962790, , , 
0.073551, -0.000111, -1.171030, , , 
0.093857, 0.089538, -1.107231, , , 
0.586183, -0.603357, -1.675354, , , 
-0.121258, 0.126581, -1.038007, , , 
0.285288, 0.053405, -0.942974, , , 
0.549327, 0.139481, -0.998678, , , 
0.504314, -0.487311, -1.605004, , , 
0.008913, -0.551228, -1.599745, , , 
-0.138278, 0.126820, -1.060761, , , 
0.524718, -0.246112, -1.037344, , , 
0.417061, -0.159645, -1.208220, , , 
-0.927883, 0.073325, -2.251610, , , 
0.546479, 0.286631, -0.922391, , , 
0.590537, -0.605015, -1.714691, , , 
-0.342089, -0.613050, -1.718435, , , 
-0.885223, 0.103970, -2.217861, , , 
0.253869, 0.117898, -0.995069, , , 
0.347361, 0.047279, -1.058859, , , 
0.680342, -0.094327, -1.191743, , , 
-1.021267, 0.078990, -2.477598, , , 
0.435838, -0.384217, -1.503377, , , 
0.255962, 0.142245, -1.029240, , , 
-0.315081, -0.359288, -1.525704, , , 
-0.960017, 0.112856, -2.411419, , , 
0.381705, -0.050104, -1.057546, , , 
0.397191, -0.002048, -1.054754, , , 
0.199201, 0.087911, -1.056591, , , 
0.476627, -0.034800, -1.020332, , , 
0.526855, 0.122678, -1.043762, , , 
1.141749, 0.073779, -1.075019, , , 
0.623610, -0.650858, -1.693171, , , 
0.560626, 0.029622, -1.145477, , , 
0.113782, -0.062252, -1.220639, , , 
0.537866, -0.270935, -1.340120, , , 
0.489531, -0.663978, -1.705729, , , 
0.510116, -1.540365, -3.201488, , , 
0.877245, 0.114395, -1.006682, , , 
0.974210, -0.087794, -1.180362, , , 
-0.015013, -0.318619, -1.449586, , , 
0.240076, 0.129302, -1.027091, , , 
0.348390, -0.131678, -1.258172, , , 
0.210929, 0.232621, -0.927777, , , 
0.586602, -0.102615, -1.197269, , , 
-0.032937, -0.493220, -1.543054, , , 
0.287060, 0.070803, -0.948464, , , 
1.274618, 0.206505, -0.997015, , , 
0.401942, -0.338192, -1.412509, , , 
1.204842, -0.064825, -1.036327, , , 
0.777686, 0.252139, -1.031151, , , 
1.168861, 0.148120, -1.013015, , , 
1.125657, -0.074671, -1.025434, , , 
0.465197, -0.281513, -1.414623, , , 
-0.015126, -0.530796, -1.585782, , , 
0.611026, 0.135879, -1.050029, , , 
0.651128, -0.074694, -1.244469, , , 
0.782355, 0.123289, -1.001908, , , 
0.490441, -0.078788, -1.087227, , , 
0.112569, -1.377263, -2.836726, , , 
0.472957, -0.431946, -1.506967, , , 
1.133523, -0.157577, -0.928973, , , 
0.420064, -0.565257, -1.566997, , , 
0.427163, 0.005944, -1.076697, , , 
0.304942, -0.125796, -1.040277, , , 
0.585596, -0.099784, -1.170508, , , 
0.788259, -0.115673, -1.359032, , , 
0.266002, -0.409624, -1.560777, , , 
1.038790, 0.253666, -0.933618, , , 
0.459568, -1.078918, -2.263896, , , 
1.126913, 0.052154, -1.123451, , , 
0.310295, -0.449231, -1.564467, , , 
1.038450, -0.083330, -1.181616, , , 
